CC1=C[C@@H]2[C@H](CC1)C(C)=CC[C@H]2C(C)C LTS0022607
CC1=C[C@@H]2C(=C(C)CC[C@H]2C(C)C)CC1 LTS0019321
CC(C)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1 LTS0088895
CC(C)C1=CC2=C(CC1)C1(C)CCCC(C)(C=O)C1CC2 LTS0114300
C=C1CCC(C(C)C)C2C=C(C)CCC12 LTS0111070
CC(C)=C1C=C2CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1 LTS0037617
C=C1C2CC2(C(C)C)C[C@H]1O LTS0085475
CC1(C)C2CC=C(CO)C1C2 LTS0130529
CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CO LTS0073057
C=CC(C)(O)CCC=C(C)CCC=C(C)C LTS0197738
CC1(C)C2CC=C(C=O)C1C2 LTS0202475
C=C[C@](C)(O)CC/C=C(\C)CCC=C(C)C LTS0145065
C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C LTS0225699
CC1=CC(=O)C(C(C)C)CC1 LTS0273145
CC(C)C12CC[C@](C)(O)[C@@H]1C2 LTS0265986
C=C1CCC2(C(C)C)CC12 LTS0224133
C/C1=C/C/C=C(C)/C=C\C(C(C)C)CC/C(C)=C\CC1 LTS0051641
Cc1ccc(C(C)C)c2c1CCC(C)C2 LTS0255273
CC(C)=CCCC(C)CCO LTS0090925
CC(C)C1=CC2=CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1 LTS0075278
CC(C)(O)C1=CC2=CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1 LTS0142664
CC(C)=CCC/C(C)=C1\CC=C(C)CC1 LTS0143321
C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3[C@](C)(C=O)CCC[C@]23C)C1 LTS0053605
C=C[C@]1(C)C=C2CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1 LTS0207129
C=C1CC[C@H]2C(=C)CCC(C(C)C)C2C1 LTS0039544
C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3C(C)(C)CCC[C@@]32C)C1 LTS0162801
CC(C)=CCCC(C)c1ccc(C)cc1 LTS0190074
CC1=CC[C@H]2C(C)=CC[C@@H](C(C)C)[C@@H]2C1 LTS0049088
C=C1CC[C@H]2C(=C)CC[C@@H](C(C)C)[C@@H]2C1 LTS0046258
CC(C)C1=CC[C@H]2C(=C1)CC[C@H]1[C@](C)(C(=O)O)CCC[C@]21C LTS0171922
CC1(C)[C@@H]2C[C@H]3[C@@H](C2)[C@]31C LTS0080510
C=C[C@@]1(C)CC[C@H]2C(=CC[C@H]3[C@](C)(CO)CCC[C@]23C)C1 LTS0086120
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C LTS0168132
CC(C)c1ccc2c(c1)CCC1C(C)(CO)CCCC21C LTS0177371
C=C1C=C[C@H](C(C)C)CC1 LTS0108574
CC1=C(C)[C@@H]2CC[C@H]1C2 LTS0143353
CC(C)C1=CC2=CC[C@H]3[C@](C)(CO)CCC[C@]3(C)[C@H]2CC1 LTS0150156
CC1(C)C2CC3C(C2)C31C LTS0179930
CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)O LTS0252977
C=C(C)[C@H]1CC=C(C)CC1 LTS0244943
C[C@H]1C(=O)CC[C@H]2[C@]3(C)CC[C@@]4(C)[C@@H]5CC(C)(C)CC[C@]5(C)CC[C@]4(C)[C@H]3CC[C@@]21C LTS0041645
CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CCC4(C)[C@H]3CCC21C LTS0057877
CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C LTS0046755
CC1=CC=C(C(C)C)CC1 LTS0136858
CC(C)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C LTS0034017
C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C LTS0018584
CC1=C(C)C2CCC1C2 LTS0105576
CC1=C[C@H]2[C@@H](CC1)C(C)=CC[C@@H]2C(C)C LTS0127116
CC(C)=CCCC(C)=CCO LTS0215566
C=CC1(C)CCC2C(=CCC3C(C)(C)CCCC23C)C1 LTS0080240
C=CC(C)(O)CCC=C(C)C LTS0128839
C=C1CC[C@@H](C(C)C)[C@H]2C=C(C)CC[C@@H]12 LTS0118853
C=C[C@@](C)(O)CCC=C(C)C LTS0196043
CC(C)=CCC/C(C)=C1/CC=C(C)CC1 LTS0196198
CC1=CC[C@](O)(C(C)C)CC1 LTS0140257
C=C1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C LTS0248662
CC(C)=CCCC(C)=C1CC=C(C)CC1 LTS0109697
CC(C)=CCC[C@@H](C)c1ccc(C)cc1 LTS0216936
CC(C)c1ccc2c(c1)CCC1C(C)(C=O)CCCC21C LTS0064099
C=C[C@@]1(C)C=C2CC[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1 LTS0206738
CC(C)[C@]12CC[C@](C)(O)[C@H]1C2 LTS0071189
C=C1[C@@H]2CC[C@H]3[C@@H]2C(C)(C)CCC[C@@]13C LTS0085676
C=C(C)C1CCC2(C)CCC=C(C)C2C1 LTS0197809
C=C1CC[C@H](C(C)C)[C@H]2C=C(C)CC[C@@H]12 LTS0211054
C=C1CCCC2(C)CCC(C(C)C)C=C12 LTS0232366
CC(C)c1ccc2c(c1)CCC1C(C)(C)CCCC21C LTS0210076
CC1=CCC2C(C)=CCC(C(C)C)C2C1 LTS0032357
CC(C)=CCC/C(C)=C/CO LTS0258838
CC(C)C1=CC2=CCC3C(C)(CCC[C@@]3(C)C(=O)O)C2CC1 LTS0055643
CC1=CC[C@H](C(C)(C)O)CC1 LTS0051762
CC1=C[C@H]2[C@H](CC1)C(C)=CC[C@@H]2C(C)C LTS0104041
Cc1ccc2c(c1)[C@@H](C(C)C)CC[C@H]2C LTS0012083
C=C1CCC[C@]2(C)CC[C@H](C(C)C)C=C12 LTS0004903
Cc1ccc(C(C)(C)O)cc1 LTS0223641
C=C(C)[C@@H]1CC[C@@]2(C)CCC=C(C)[C@@H]2C1 LTS0024564
CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2 LTS0242824
CC1(C)CCC[C@@]2(C)[C@@H]3C[C@H]4[C@@H]([C@@H]31)[C@]42C LTS0112114
CC(C)(N)CO.CC(C)C1=CCC2C(=C1)CCC1C(C)(C(=O)O)CCCC21C LTS0043877
CC(=O)O[C@]12CCC(C)=CC[C@]13CC[C@H]2[C@@](C)(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC3=O LTS0045089
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C LTS0217821
CO[C@@]1(C(C)C)C=C2C(=O)C[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1 LTS0182913
COC(=O)CC[C@]12C[C@]13CC[C@]1(C)C4C(C)C[C@]5(CC(C)C(=O)O5)OC4CC1(C)C3CCC2C(C)(C)O LTS0216958
CC(C)(O)c1ccc2c(c1)CCC1C(C)(CO)CCCC21C LTS0060450
C[C@H](CC(=O)O)[C@]1(C)CC=C2C3=CC[C@H]4C(C)(C)[C@H](O)CC[C@]4(C)[C@@H]3CC[C@]21C LTS0054331
CC(C)c1ccc2c(c1)C(=O)C[C@@H]1[C@]2(C)CCC[C@@]1(C)CO LTS0127150
COC(=O)[C@]1(C)CCC[C@@]2(C)[C@H]1C[C@H]1C(=O)C[C@]3(C(C)C)CC[C@@]12O3 LTS0137099
CC(C)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C LTS0218860
